Text,Date,Time,Facebook,Twitter/X,LinkedIn,GBP,Instagram,Pinterest,TikTok,YouTube,Threads,Bluesky,Picture Url 1,Alt text picture 1
"Most people think Nosht is a notes app. It's a bit more than that.

49 structured templates. 68 patient leaflets. 14 chairside tools — LA max-dose, NHS bands, perio staging, CPD logging, finance.

The whole UK dental day in one place, instead of five browser tabs and a drawer of printouts.

What would you want it to do next?",2026-06-23,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"More than a notes app — 49 templates, 68 leaflets and 14 chairside tools in one place.",2026-06-23,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-breadth.png,Nosht
Watch a clinical note build itself. Type the shorthand you already think in; Nosht structures the fields; you review and confirm every one. A defensible note in under a minute. #dentistry #dentist #ukdentist #dentaltok #dentalnurse,2026-06-23,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk4-notefill.mp4,Nosht reel
"An indemnity reviewer can tell a defensible note from a risky one in about five seconds.

Here's what they scan for:
1. Screening recorded — BPE, soft tissues, dated.
2. Clinical reasoning, not just findings.
3. Options + consent — alternatives, risks, agreement.
4. Advice + patient response.
5. Who, when, contemporaneous.

When a complaint lands months later, the contemporaneous record is the defence — regardless of how good the care actually was.

Which of the five does your current note most often miss?",2026-06-24,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"A routine note in under a minute: type the shorthand you think in, Nosht structures the fields, you confirm each one.",2026-06-24,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-speed.png,Nosht
"Everyone thinks Nosht is just a notes app. It's a bit more — 49 templates, 68 leaflets, 14 chairside tools. The whole dental day in one place. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-06-24,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk1-breadth.mp4,Nosht reel
"""AI dental notes"" hides two very different things.

AI-generated: the tool writes the note for you; you skim and accept.

AI-assisted: you write it in shorthand, the tool structures it, and you review and sign every field.

For your GDC registration the difference is everything — one record is genuinely yours and contemporaneous, the other isn't. If you're choosing a tool this year, ask which one it actually is.",2026-06-25,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
AI-assisted and AI-generated aren't the same thing — and only one is something you'd sign your name to.,2026-06-25,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-ailine.png,Nosht
"Unpopular opinion: free-text is where defensibility goes to die. Structured wins on what every audit checks — consistency, completeness, compliance. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-06-25,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk3-freetext.mp4,Nosht reel
"You trained for years to do dentistry. Not data entry.

A note isn't slow because anyone types slowly — it's slow because you reformat what you already know into a defensible paragraph, every single time.

Structured templates flip that: jot the shorthand the way you'd say it, review the result, paste it into your PMS. The judgement stays yours; the retyping disappears.

Which admin task would you bin first?",2026-06-26,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"An indemnity reviewer reads a note in about five seconds. Screening, reasoning, options, consent, signature — in every note, or not.",2026-06-26,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-fivesecond.png,Nosht
"""NAD."" ""…NAD."" ""NAD again."" The most-typed phrase in dentistry. The routine bits fill in a tap — you still review the judgement calls. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-06-26,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/hook6-nad.mp4,Nosht reel
"A routine note shouldn't take longer than the filling did.

With Nosht you type the shorthand you already think in — MOD comp A2, RD, bite checked — and it structures the fields. You review and confirm each one, then paste straight into your PMS.

Under a minute for a routine note, and you've signed off every word.

What's your note-writing time per patient right now?",2026-06-27,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Unpopular opinion: free-text is where defensibility goes to die. Structured wins on the three things audits actually check.,2026-06-27,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-freetext.png,Nosht
Watch a clinical note build itself. Type the shorthand you already think in; Nosht structures the fields; you review and confirm every one. A defensible note in under a minute. #dentistry #dentist #ukdentist #dentaltok #dentalnurse,2026-06-27,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk4-notefill.mp4,Nosht reel
"Free-text is where defensibility goes to die.

Unpopular, but the audits agree: structured notes win on the three things that matter — consistency, completeness, compliance.

The record is the evidence. Structure makes sure the evidence is actually there.

Where do your notes sit?",2026-06-28,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"On a busy NHS list, the same structure on every patient is your best defence.",2026-06-28,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-nhs.png,Nosht
"Everyone thinks Nosht is just a notes app. It's a bit more — 49 templates, 68 leaflets, 14 chairside tools. The whole dental day in one place. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-06-28,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk1-breadth.mp4,Nosht reel
"Consent isn't a signature. It's a conversation.

Montgomery made it clear: material risks, reasonable alternatives, and the patient's agreement — documented at the time, in their terms.

Structured prompts mean none of it gets missed on a busy day. What does your consent note capture?",2026-06-29,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
You trained for years to do dentistry — not data entry. The clinical judgement stays yours; the retyping disappears.,2026-06-29,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-dataentry.png,Nosht
"Unpopular opinion: free-text is where defensibility goes to die. Structured wins on what every audit checks — consistency, completeness, compliance. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-06-29,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk3-freetext.mp4,Nosht reel
"CQC asks one quiet question: show me.

Complete, contemporaneous records — produced on demand, not reconstructed the night before the inspection.

Structured templates that prompt every element, every time, make ""show me"" a non-event. How ready are your records today?",2026-06-30,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Bulletproof Mode flags the consent line you'd have forgotten — before the note ever leaves your hands.,2026-06-30,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-bulletproof.png,Nosht
"""NAD."" ""…NAD."" ""NAD again."" The most-typed phrase in dentistry. The routine bits fill in a tap — you still review the judgement calls. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-06-30,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/hook6-nad.mp4,Nosht reel
"Most people think Nosht is a notes app. It's a bit more than that.

49 structured templates. 68 patient leaflets. 14 chairside tools — LA max-dose, NHS bands, perio staging, CPD logging, finance.

The whole UK dental day in one place, instead of five browser tabs and a drawer of printouts.

What would you want it to do next?",2026-07-01,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Consent isn't a signature — it's a conversation. Alternatives, risks and the patient's agreement, documented at the time.",2026-07-01,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-consent.png,Nosht
Watch a clinical note build itself. Type the shorthand you already think in; Nosht structures the fields; you review and confirm every one. A defensible note in under a minute. #dentistry #dentist #ukdentist #dentaltok #dentalnurse,2026-07-01,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk4-notefill.mp4,Nosht reel
"An indemnity reviewer can tell a defensible note from a risky one in about five seconds.

Here's what they scan for:
1. Screening recorded — BPE, soft tissues, dated.
2. Clinical reasoning, not just findings.
3. Options + consent — alternatives, risks, agreement.
4. Advice + patient response.
5. Who, when, contemporaneous.

When a complaint lands months later, the contemporaneous record is the defence — regardless of how good the care actually was.

Which of the five does your current note most often miss?",2026-07-02,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"CQC asks one quiet question: show me. Complete, contemporaneous records on demand — not reconstructed the night before.",2026-07-02,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-cqc.png,Nosht
"Everyone thinks Nosht is just a notes app. It's a bit more — 49 templates, 68 leaflets, 14 chairside tools. The whole dental day in one place. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-07-02,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk1-breadth.mp4,Nosht reel
"""AI dental notes"" hides two very different things.

AI-generated: the tool writes the note for you; you skim and accept.

AI-assisted: you write it in shorthand, the tool structures it, and you review and sign every field.

For your GDC registration the difference is everything — one record is genuinely yours and contemporaneous, the other isn't. If you're choosing a tool this year, ask which one it actually is.",2026-07-03,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Sixty-eight patient leaflets, sent in a tap. Hand one over or send it straight to the patient — no printer, no fuss.",2026-07-03,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-leaflets.png,Nosht
"Unpopular opinion: free-text is where defensibility goes to die. Structured wins on what every audit checks — consistency, completeness, compliance. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-07-03,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk3-freetext.mp4,Nosht reel
"You trained for years to do dentistry. Not data entry.

A note isn't slow because anyone types slowly — it's slow because you reformat what you already know into a defensible paragraph, every single time.

Structured templates flip that: jot the shorthand the way you'd say it, review the result, paste it into your PMS. The judgement stays yours; the retyping disappears.

Which admin task would you bin first?",2026-07-04,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Works with the PMS you've already got — Dentally, SOE Exact, R4, Carestream, Kodak. One-click copy and paste.",2026-07-04,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-pms.png,Nosht
"""NAD."" ""…NAD."" ""NAD again."" The most-typed phrase in dentistry. The routine bits fill in a tap — you still review the judgement calls. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-07-04,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/hook6-nad.mp4,Nosht reel
"A routine note shouldn't take longer than the filling did.

With Nosht you type the shorthand you already think in — MOD comp A2, RD, bite checked — and it structures the fields. You review and confirm each one, then paste straight into your PMS.

Under a minute for a routine note, and you've signed off every word.

What's your note-writing time per patient right now?",2026-07-05,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Concise when you're quick. Bulletproof when it counts. Two modes for the two kinds of appointment.,2026-07-05,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-twomodes.png,Nosht
Watch a clinical note build itself. Type the shorthand you already think in; Nosht structures the fields; you review and confirm every one. A defensible note in under a minute. #dentistry #dentist #ukdentist #dentaltok #dentalnurse,2026-07-05,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk4-notefill.mp4,Nosht reel
"Free-text is where defensibility goes to die.

Unpopular, but the audits agree: structured notes win on the three things that matter — consistency, completeness, compliance.

The record is the evidence. Structure makes sure the evidence is actually there.

Where do your notes sit?",2026-07-06,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Built in the UK, for the UK dental day — aligned to GDC and FGDP(UK), with UK-only data hosting.",2026-07-06,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-ukbuilt.png,Nosht
"Everyone thinks Nosht is just a notes app. It's a bit more — 49 templates, 68 leaflets, 14 chairside tools. The whole dental day in one place. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-07-06,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk1-breadth.mp4,Nosht reel
"Consent isn't a signature. It's a conversation.

Montgomery made it clear: material risks, reasonable alternatives, and the patient's agreement — documented at the time, in their terms.

Structured prompts mean none of it gets missed on a busy day. What does your consent note capture?",2026-07-07,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"More than a notes app — 49 templates, 68 leaflets and 14 chairside tools in one place.",2026-07-07,12:30:00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/cards/sq-breadth.png,Nosht
"Unpopular opinion: free-text is where defensibility goes to die. Structured wins on what every audit checks — consistency, completeness, compliance. #dentistry #dentist #ukdentist #dentaltok #dentalnurse",2026-07-07,18:00:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/lordnoori7/nosht-content-month/main/media/videos/tk3-freetext.mp4,Nosht reel
"CQC asks one quiet question: show me.

Complete, contemporaneous records — produced on demand, not reconstructed the night before the inspection.

Structured templates that prompt every element, every time, make ""show me"" a non-event. How ready are your records today?",2026-07-08,08:30:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
